Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
02/02/19,Juventus,Parma,3,3,D,1,0,H,,18,11,9,5,6,11,12,4,1,2,0,0,1819
02/02/19,Napoli,Sampdoria,3,0,H,2,0,H,,18,8,14,2,4,12,5,3,0,3,0,0,1819
03/02/19,Genoa,Sassuolo,1,1,D,1,1,D,,4,11,2,8,11,15,4,6,1,3,0,0,1819
03/02/19,Inter,Bologna,0,1,A,0,1,A,,12,8,3,7,13,17,6,7,1,2,0,0,1819
03/02/19,Roma,Milan,1,1,D,0,1,A,,11,6,9,5,15,9,10,2,3,4,0,0,1819
03/02/19,Spal,Torino,0,0,D,0,0,D,,8,5,1,1,24,27,11,6,5,5,0,1,1819
03/02/19,Udinese,Fiorentina,1,1,D,0,0,D,,7,9,2,4,13,14,1,10,3,3,0,0,1819
04/02/19,Cagliari,Atalanta,0,1,A,0,0,D,,8,10,2,6,18,11,2,4,0,2,0,0,1819
04/02/19,Frosinone,Lazio,0,1,A,0,1,A,,9,11,4,5,8,14,2,2,1,5,0,0,1819
07/02/19,Lazio,Empoli,1,0,H,1,0,H,,8,3,4,1,13,8,3,2,1,1,0,0,1819
08/02/19,Chievo,Roma,0,3,A,0,2,A,,11,11,6,9,6,9,7,7,1,2,0,0,1819
09/02/19,Fiorentina,Napoli,0,0,D,0,0,D,,10,12,4,4,9,17,5,5,2,4,0,0,1819
09/02/19,Parma,Inter,0,1,A,0,0,D,,6,13,2,7,17,12,2,10,2,2,0,0,1819
10/02/19,Atalanta,Spal,2,1,H,0,1,A,,8,5,5,3,14,12,9,4,1,3,0,0,1819
10/02/19,Bologna,Genoa,1,1,D,1,1,D,,7,9,4,6,17,13,13,3,2,2,0,0,1819
10/02/19,Milan,Cagliari,3,0,H,2,0,H,,17,7,10,3,12,11,2,5,0,1,0,0,1819
10/02/19,Sampdoria,Frosinone,0,1,A,0,1,A,,11,3,7,1,10,21,9,2,3,3,0,0,1819
10/02/19,Sassuolo,Juventus,0,3,A,0,1,A,,9,10,2,5,17,8,8,4,0,0,0,0,1819
10/02/19,Torino,Udinese,1,0,H,1,0,H,,12,10,7,6,21,21,9,2,2,4,0,1,1819
15/02/19,Juventus,Frosinone,3,0,H,2,0,H,,11,7,8,1,13,19,5,7,2,3,0,0,1819
16/02/19,Atalanta,Milan,1,3,A,1,1,D,,12,6,5,3,10,9,5,2,1,2,0,0,1819
16/02/19,Cagliari,Parma,2,1,H,0,1,A,,12,6,3,3,21,11,1,4,5,1,1,0,1819
17/02/19,Empoli,Sassuolo,3,0,H,2,0,H,,7,5,6,2,11,10,3,3,1,3,0,0,1819
17/02/19,Genoa,Lazio,2,1,H,0,1,A,,14,6,6,6,12,12,7,3,3,2,0,0,1819
17/02/19,Inter,Sampdoria,2,1,H,0,0,D,,14,6,7,2,10,11,9,5,3,1,0,0,1819
17/02/19,Napoli,Torino,0,0,D,0,0,D,,20,6,10,1,18,13,15,4,5,3,0,0,1819
